TRAVEL_ID,TRAVEL_LENGTH,total_payment,visit_move_cnt,IS_FAILED_TRIP,total_payment_per_day,visit_move_cnt_per_day
e_e000011,4,1.673048592998291,14,0,1.1475184141167818,3.5
e_e000013,3,1.359057998209896,8,0,1.3919529523888874,2.6666666666666665
e_e000014,2,0.03173412024077252,3,0,0.27389126807018194,1.5
e_e000015,5,0.7881660076855418,24,0,0.24039468319585633,4.8
e_e000016,2,-0.12240671720080311,4,0,0.0294567297980763,2.0
e_e000018,2,-0.3422001335526795,4,0,-0.3190888155158521,2.0
e_e000020,3,0.20871063730332232,13,0,0.17581568172643589,4.333333333333333
e_e000021,3,0.03458858019339429,16,0,-0.008264649564902946,5.333333333333333
e_e000022,2,0.06313317971961199,5,0,0.3236834888293146,2.5
e_e000023,2,-0.3678902731262754,7,0,-0.3598279052278697,3.5
e_e000025,2,-0.3193644539317053,5,0,-0.282876291327392,2.5
e_e000030,2,-0.5077588108047422,5,0,-0.5816296158821878,2.5
e_e000037,2,-0.3593268932684101,4,0,-0.3462482086571972,2.0
e_e000038,3,0.20871063730332232,9,0,0.17581568172643589,3.0
e_e000039,2,-0.17664145630061676,9,0,-0.05654801514951643,4.5
e_e000040,3,-0.32507337383694884,9,0,-0.388496153543734,3.0
e_e000041,4,-0.039627378574771756,16,0,-0.21045124295047182,4.0
e_e000042,2,-0.3022376942159747,8,0,-0.2557168981860469,4.0
e_e000045,3,-0.3935804126998714,7,0,-0.4609212019206541,2.3333333333333335
e_e000046,2,0.006043980667176579,4,0,0.23315217835816435,2.0
e_e000293,2,-0.073880898006233,11,0,0.10640834369855401,5.5
e_e000294,4,0.973705904605957,7,1,0.5930141374809865,1.75
e_e000296,4,-0.2023315958742127,13,0,-0.33945836037186095,3.25
e_e000299,3,0.22583739701905295,14,0,0.19392194382066594,4.666666666666667
